,authors,doi,doiUrl,entities,id,inCitations,journalName,journalPages,journalVolume,outCitations,paperAbstract,pdfUrls,pmid,s2PdfUrl,s2Url,sources,title,venue,year
0,"[{'name': 'Kate Jack', 'ids': ['38280253']}]",,,['Jack Device Component'],f2320c08c7d95bbf8bb72e4d6deaa6845ea4cf27,[],Nursing times,26,109 49-50,[],,[],24568020v1,,https://semanticscholar.org/paper/f2320c08c7d95bbf8bb72e4d6deaa6845ea4cf27,['Medline'],60 seconds with Kate Jack.,Nursing times,2013
1,"[{'name': 'W N Spellacy', 'ids': ['5862934']}, {'name': 'J Burger', 'ids': ['1757639']}]",,,"['Decision Making', 'Laboratory Certification Document', 'Organization administrative structures']",5432a99cdd9f8b248c50274cd3d2a6016f3d081e,[],The Journal of reproductive medicine,127-30,31 2,[],"The search for new administrators in complex systems is an important activity. The special requirements of academic organizations, particularly those with health centers, present some unique considerations that can confound this important and difficult process. Typically, national searches attract a sizable candidate list composed of persons with diverse backgrounds and experiences, and a committee is empowered to sort through their qualifications. A critical step in the planning of each search is the development of a process that allows participatory decision making while not requiring too much time. Too often the search becomes an unmanageable activity that confuses the searchers and frustrates the administration. A seven-step process has proven successful for use by committees to attract and sort through written candidate applications, to agree upon a preliminary ranking of candidates and to reach a consensus on a final list of recommendations. The process could be applied in almost any organizational setting.",[],3514907v1,,https://semanticscholar.org/paper/5432a99cdd9f8b248c50274cd3d2a6016f3d081e,['Medline'],Organizing a search for an academic administrator.,The Journal of reproductive medicine,1986
2,"[{'name': 'Stefanie Ernst', 'ids': ['39900230']}, {'name': 'Carsten Lange', 'ids': ['38285107']}, {'name': 'Andreas Wilbers', 'ids': ['34505589']}, {'name': 'Verena Goebeler', 'ids': ['6302762']}, {'name': 'Volker Gerke', 'ids': ['6509600']}, {'name': 'Ursula Rescher', 'ids': ['4702003']}]",,,"['Annexin A1', 'Annexins', 'Bacterial Infections', 'Chemotaxis', 'EPHA3 protein, human', 'FPR1 protein, human', 'FPR3 gene', 'Leukocytes', 'Ligands', 'Parathyroid Hormone Receptor', 'Peptide Receptor', 'Subfamily', 'fMet-Leu-Phe receptor']",155663331ea93379e99997bd43340eb54ab41a73,"['3738fad17126054f03cfe736b7156b6d6eef0481', '927e690d772252cc95f7818a16a4cf43dab0edba', '12a2c7031f12df3d00bfe5eaa9ae25851b825841', '2f49fc254663c9b5b6e2fbc2b3e707eee5817c11', '05b55180032103e7b31de248e227cb8d239d8acd', '3f07ff1ee2813dd2c38b5bc28439769226bd1236', '6c7ee2062b49226bfee08114f12cb1cd07509d9d', 'd1d3f4cc5671bbb339b43e63c065477c7c1f38c8', 'a986984b4e368907c36e0e078a935adcfd055076', 'bafabb8269cafefd06e039fed0833bab13f34afd', '2d3bcb942422b792fa6242b4c79a7c5f2bc898e9', '35767947edf698fbe772e0fdb545fe850b5b8d15', 'dbca6c002f78b9926459ce9b5bc87fc4738ad996', 'd32f93ced0ba660cf39c200b0186882ab1a149d1', 'b153a0589f5d2dbb8f21016cc202817bb1f937b4', '5cbf95c2ff01c69e1be9da8a12324cd57ac73d82', '17b36fa12edad261e163b414528b3edd01bddd28', '24e442087f3533f64551f1a77b075e0be59b1f40', '6057c5e6eba3b636711396ec2bb5e1d93c44632c', 'febd5b9457b8cfef884fa06b263d9117e23cf7be', '031b6cb1f0f7a5c2d6a3aa08d83350b1579a2a08', '2c282d7e1a95c41a0e6ea87f2ea44925fff0cc26', 'd18197d7be7433b5c253eac0d232ea00eac02c49', 'a647ec16597bedfbc94897042a45981b2694b32b', 'f9965f7617c5caea715fb749c4a964b141fe1ef2', '10335c92eaf3130d9524170c2dfa1539590c3a30', 'b368b1c975450a779fa9ec9c75259914304f8928', '2f01ccdec197a25d3a8840f7ac097d1f1c58c9ae', 'b677b11c5fe125e2d6b9a23f2f1c71e8f7253866', '56a98d415a52893a9311de921f3332a4d5983f86', '2759f0793ac28fcb6144a232d74a176ca0001a72', 'cfc4ccc8d6d7f541199324e80ff737ec32e90a04', '210ae1d7c6386b4ffe07f6ae1065f567844da7d3', '1910925eb67b1178271f889ed7ce3706ce51de01', 'e4d49a8d7d477165428e6c08b1066dc6d7251a4c', '73ab48562b828beecd18d0b8b85eb8eac08b7f46', '6bd3a7dfcd8b5582c6f3a37f6b21ee966d11d0a1', 'e10fd96b2c66623159ca50a126e6c398e9681f93', '61d89c64d595992624b8d6e281174df893ec0311', '06c2a40ad3b98bc414dff20c882867116082e7ac', '38449740092b71d204a7f27aa68cf1f7a0a08b4b', 'c8f8030cadd63bfe6e24918aa12391fee171aa45', '697729db06b9b4c70867cc6c8bce6416a7c5621d', '0dfec70f31ae2294602602eba6066ac11e404a68', '7b95f3b889c0428e3bfa16afa95d97d1f9d7c0f9', '227944c357595eab0bb4bf8f73ddb0c8db35e2fa']",Journal of immunology,7669-76,172 12,"['c2b53b26c004fe57e85424df6ad101d283150648', 'd30e703f3d6d74bfc6845c9469d681e491bac5fe', '6494f3ba9340ff0bf04bf6fcaee639a16c273d12', '81e8afe731c3fceac456ef28027f96b40439e5e8', '56101af10d0b74526d0365f850877a51c0e0866b', '32ef6bd7082c817934c0163abb3e6d3e818c64d7', '2f97ef8f51637774f47dcfdc5fc05ef728ed24b6', 'd21899d415d539ce3fad09032ad27afba84bcfd2', '3929e76314143450e905f954c6226da5ced68954', '5e69462299d07cac473aa1a864dd51cae398af9c', '315a775b3219ae31367df439080806a1666b1624', 'e658ebc0cbb4443d1f79a1d6bc92111d9f536c98', 'e2164cb09414781bd46cb0d403a72a0ea5793682', '43ef3abacf752f00d35ecdb4b08e32f0370d7abb', '3123c56dadd34503128e73d556d0308748932c56', 'ec3405c7b34b3b9def5f87fe1ca0c9f0b37d4644', '97ba43f452c3eaf3e994f39e426f86b3594369d1', '4c23424e376c16e7fd501fc8742f51881e57d25b', '497b0cfb888f36f32c4b4843aee01c5509b02123', 'f5ec2d092c6969299eeb2842060d6cab98613f73', 'c0f339442b3f84567f1f9ea05805480d5295c4a8', 'af02aed0e5bff33617f96d840e36ff065cf469ed', '8559addff0abfeefbefeb7e7cff8667891adc0a3', '941e38df2a1198b14dfc82aaa4cf6db12704004d', 'ad7b4b77fe7f98c6799d5a569db0380a6d352928', 'c5cd33ac650b3b7bbd6a4e8afc4ab89681ef16b0', '136c57be9e4c36f8ba36e1966647724b27577ab9', '6bc51ccd63cb18d5b950f0067d60d000c653696f', 'cbefdfe5df7696f92cd02ca8f27e768ab8597bed', 'bb2412da92ddae7063227e61c9e5cff080557e13', 'ed55dded3d9cb58e5b630840144548fe4c9b30f7', '9aa2ae2573c701e5855977d7f354ee1b957e0fc3', '050d7c0cc34d6dbd2485fca72e53498725f583fb', '3e9a27b239b8b33259332b41b5541ee12e8fc8b1', '614653777ab95341368b82744e40d079cce1599e', '425ed8ee2d3c490ce1e2253d28fb6d5d447f2487', '36063ad87d5de2293e63b26df1bb766ad10d19b0', '32b823d9c492a2c1455b9cd2f292aa5d4002198f', 'c23f24bf3c29e2e48ea832809cd6da04293783d6', '6d62795c42bc4397801968dd430303b56968d4b3', '0fc68bb34163586d66d526c5e69792b038b01b8c', '6a9dc9e2d9d3224d33dcc49d48c4cd60a4fd0a6a', 'bc0ab72643f01c9f3bbf957a9738c682da314d8a', '32ef2f7cd4d56642e1991a39379738ae711fd231']","The human N-formyl peptide receptor (FPR) is a key modulator of chemotaxis directing granulocytes toward sites of bacterial infections. FPR is the founding member of a subfamily of G protein-coupled receptors thought to function in inflammatory processes. The other two members, FPR-like (FPRL)1 and FPRL2, have a greatly reduced affinity for bacterial peptides or do not bind them at all, with FPRL2 being considered an orphan receptor so far. In this study we show that a peptide derived from the N-terminal domain of the anti-inflammatory protein annexin 1 (lipocortin 1) can activate all three FPR family members at similar concentrations. The annexin 1 peptide initiates chemotactic responses in human monocytes that express all three FPR family members and also desensitizes the cells toward subsequent stimulation with bacterial peptide agonists. Experiments using HEK 293 cells stably expressing a single FPR family member reveal that all three receptors can be activated and desensitized by the N-terminal annexin 1 peptide. These observations identify the annexin 1 peptide as the first endogenous ligand of FPRL2 and indicate that annexin 1 participates in regulating leukocyte emigration into inflamed tissue by activating and desensitizing different receptors of the FPR family.","['http://www.jimmunol.org/content/jimmunol/172/12/7669.full.pdf', 'http://www.jimmunol.org/content/172/12/7669.full.pdf']",15187149v1,http://pdfs.semanticscholar.org/cb73/147dc0bf1b2eabc5513c5e7952ef4f36df16.pdf,https://semanticscholar.org/paper/155663331ea93379e99997bd43340eb54ab41a73,['Medline'],An annexin 1 N-terminal peptide activates leukocytes by triggering different members of the formyl peptide receptor family.,Journal of immunology,2004
3,"[{'name': 'S Yamamoto', 'ids': ['1801874']}, {'name': 'S Kobayashi', 'ids': ['1853384']}, {'name': 'M Tanaka', 'ids': ['1752907']}, {'name': 'T Akimoto', 'ids': ['1836682']}, {'name': 'Y Takasaki', 'ids': ['2752317']}]",,,"['Adrenal Cortex Hormones', 'Bladder Neoplasm', 'Calcium', 'Carbon Monoxide Diffusing Capability Test', 'Cyclophosphamide', 'Cyclosporine', 'Dermatomyositis', 'Diabetes Mellitus', 'Diffusion', 'Enzyme-Linked Immunosorbent Assay', 'Fibrosis', 'Gall', 'Gland', 'Immunosorbents', 'Malignant Neoplasms', 'Malignant neoplasm of gallbladder', 'Metaplasia', 'Mice, 129 Strain', 'Neoplasms', 'Patients', 'Pneumonia, Interstitial', 'Poly A', 'Pulmonary Fibrosis', 'Rheumatism', 'Rheumatoid Arthritis', 'Structure of parenchyma of lung', 'Structure of superior cerebellar artery', 'Systemic Scleroderma', 'X-Linked Combined Immunodeficiency Diseases', 'cyclophosphamide/doxorubicin protocol']",b5a25960ebee9a6e5db79196e6b07f0edfcf5313,"['8bcedf8512f672310326a6cc0ec897939d28c6d1', '8b7b939cf381b8483805448c7db856ffbc1c8d66']",Nihon Rinsho Men'eki Gakkai kaishi = Japanese journal of clinical immunology,128-35,19 2,[],"Serum CA 19-9 (2-3 sialyl Le(a)) is a marker of malignant disorder such as pancreas or gall bladder cancers. It has been reported that sera from patients with interstitial pneumonia show elevated level of CA 19-9. To investigate the relationship between the elevation of serum CA 19-9 (sCA 19-9) and the presence of pulmonary fibrosis, we examined the level of sCA 19-9 in sera from patients with rheumatic diseases with or without interstitial pneumonia (IP). The sCA 19-9 level was determined by enzyme-linked immunosorbent assay (ELISA). Fourteen sera of 129 (10.9%) patients with rheumatic diseases without malignant disorders were positive for sCA 19-9 when normal range was determined as less than 100 U/ml (mean +/- 5 SD), and 26.7% of sera from poly/dermatomyositis (PM/DM) and 11.8% of systemic sclerosis (PSS) were positive for CA 19-9. Whereas only 8.0% of rheumatoid arthritis (RA) was positive. Twelve (28.6%) of 42 rheumatic patients with IP showed positive levels for sCA 19-9 (mean 142.5 +/- 363.0 U/ml), whereas only two (2.3%) of 87 without IP were positive (mean 33.9 +/- 65.8 U/ml; p < 0.05). The correlation between the level of sCA 19-9 and pulmonary diffusing capacity (%DLCO) revealed an inverse correlation in 32 rheumatic patients with IP (r = -0.43, p < 0.05). Furthermore, the elevated sCA 19-9 levels decreased after treatment with corticosteroid and/or cyclophosphamide or cyclosporin A. Therefore, elevation of the level of sCA 19-9 seems to be involved in the pathogenesis of IP and sCA 19-9 will be a useful parameter for IP. It has been reported that the CA 19-9 is produced from the bronchial glands and suggested that during chronic fibrotic process of the lung, the metaplastic change of the bronchial glandular cells occur and the cells produce CA 19-9.",[],8705689v1,,https://semanticscholar.org/paper/b5a25960ebee9a6e5db79196e6b07f0edfcf5313,['Medline'],[Serum CA 19-9 levels in rheumatic diseases with interstitial pneumonia].,Nihon Rinsho Men'eki Gakkai kaishi = Japanese journal of clinical immunology,1996
4,"[{'name': 'Edwards', 'ids': ['14380299']}, {'name': 'Liu', 'ids': ['3738631']}]",,,"['Cell Nucleus', 'Dependence', 'Nucleic Acids']",3b7538465b0559e2d3ff2b65991c8e399e457822,[],"Physical review. A, Atomic, molecular, and optical physics",2709-2717,44 4,[],,[],9906253v1,,https://semanticscholar.org/paper/3b7538465b0559e2d3ff2b65991c8e399e457822,['Medline'],Sequence dependence of low-frequency Raman-active modes in nucleic acids.,"Physical review. A, Atomic, molecular, and optical physics",1991
5,"[{'name': 'Beuy Joob', 'ids': ['2960984']}, {'name': 'Viroj Wiwanitkit', 'ids': ['2058832']}]",10.4103/0189-6725.99414,https://doi.org/10.4103/0189-6725.99414,"['Floods', 'Operative Surgical Procedures']",fd543437fb638f69d18d2daecdc3220aea52362d,[],African journal of paediatric surgery : AJPS,182-3,9 2,[],,[],22878777v1,,https://semanticscholar.org/paper/fd543437fb638f69d18d2daecdc3220aea52362d,['Medline'],Effects of the big 2011 Thai flooding on paediatric surgeries.,African journal of paediatric surgery : AJPS,2012
6,"[{'name': 'P Alc???ntara', 'ids': ['3785966']}, {'name': 'D Correa', 'ids': ['1788997']}]",,,"['Bands', 'Epitopes', 'Humoral immune response', 'Immune response', 'Patients', 'Sus scrofa', 'Trichinella spiralis', 'Trichinellosis', 'Western Blotting']",4eb012080370337bc0cdcee6ef21ee4142ffddd5,"['41727c8d6e35693814151b4871fcc344c300e27e', '8b632a718fedb6b7aa425527aa8718721f464698', '92a0055812f38771d58d7ad1a0a8df8f1e392909', '63b6b4221518892344600ea06dff85e5131f5628', '97e87a24b0b7edc7582911c284121d6f7f209eec', '5d50542e0159e8305c9e7cd421d91cec05afee7a']",International journal for parasitology,657-60,23 5,[],"The analysis of trichinellosis patients' sera was performed by Western blot against a crude extract of Trichinella spiralis. Eight distinctive bands from 38 to 104 kDa were present in most of the patients' sera as a striking homogeneous response. Some of these characteristic bands were found to be recognized by the serum of infected rodents and of an immunized rabbit in this work, and have also been reported to be recognized by monoclonal and polyclonal antibodies from T. spiralis infected or immunized rats, mice, swine or rabbits. Our data indicate that different animal species as well as humans recognize unique immunodominant epitopes of T. spiralis.",[],8225769v1,,https://semanticscholar.org/paper/4eb012080370337bc0cdcee6ef21ee4142ffddd5,['Medline'],Human humoral immune responses against Trichinella spiralis.,International journal for parasitology,1993
7,"[{'name': 'A S Yeager', 'ids': ['3389810']}, {'name': 'J H Davis', 'ids': ['4693519']}, {'name': 'L A Ross', 'ids': ['4793596']}, {'name': 'B Harvey', 'ids': ['1685964']}]",,,"['Heart failure', 'Hemagglutination Inhibition Tests', 'Measles', 'Measles Vaccine', 'Measles-Mumps-Rubella Vaccine']",e9e33133cf1562aaa14018161d4768861fd7c7b3,"['94d6eed9cf4758435d7449bcce3cbfead82886a3', '67acebc1e4e8adb601a39ac851ea7ea7fe5ff3b3', '03eb7935db9a0df86675e6677ac93ef6105f4ab8', 'c325f0ae8fc748e72c7d5a518335fd7f25fb68e5', '11485461c4455785f37823ead612555eb5aa2742', '446b036b3ec91faede29f67daf6d226eded2905a']",JAMA,347-51,237 4,[],"As a result of a large outbreak of measles, measles hemagglutination inhibition (HI) titers were measured in 465 immunized children. Titers of less than 1:4 were found in 14.6% of children immunized at 12 months of age as compared to 5.2% of those immunized at 13 months of age or later. Measles antibody titers were higher in the mothers of seronegative children who had been immunized at 11 or 12 months of age than in the mothers of seroposotive children. Measles HI titers of 1:4 or more were present in 94% of children immunized at 13 months of age or later between 1962 and 1964. The findings suggest that vaccine failure and not waning antibody accounts for the majority of titers of less than 1:4 in immunized children. Reimmunization programs should be considered for those who were immunized before 13 months of age.",[],576165v1,,https://semanticscholar.org/paper/e9e33133cf1562aaa14018161d4768861fd7c7b3,['Medline'],Measles immunization. Successes and failures.,JAMA,1977
8,"[{'name': 'R. G???chter', 'ids': ['5708885']}, {'name': 'D. Imboden', 'ids': ['11363377']}, {'name': 'H. B???hrer', 'ids': ['20589523']}, {'name': 'P. Stadelmann', 'ids': ['32908318']}]",10.1007/BF02538159,https://doi.org/10.1007/BF02538159,"['Diethylstilbestrol', 'Ephrin Type-B Receptor 1, human', 'Loading Technique', 'Nonlinear Dynamics', 'Nonlinear system', 'Orthophosphate', 'Other preventive procedure', 'Oxygen', 'Phosphorus', 'Steady state']",877fdacf08079f89ad64a708a0638754b8149766,['624da7cc1fa67abb21898cff0c93ee1a1d6abb72'],Schweizerische Zeitschrift f???r Hydrologie,246-266,45,[],"Since 1954 average orthophosphate and total phosphorus concentrations have increased twenty and eightfold respectively in Lake Sempach. It is demonstrated that the lake is not in steady state with its phosphorus loading and that the net deposition rate of phosphorus is not linearly related to the phosphorus content of the lake. This implies that linear steady state one-box models are unsuitable to describe the phosphorus balance of this lake. Applying a nonlinear dynamic lake model we predict that the defined water quality goals ([P] ??????30 mg m??????3, [O2 ??????4 mg m??????3]) can only be achieved within the next 15 years if the external phosphorus loading is reduced by at least 50% and simultaneously lake-internal measures, such as hypolimnion areation or hypolimnion siphoning are carried into effect.",[],,,https://semanticscholar.org/paper/877fdacf08079f89ad64a708a0638754b8149766,[],M???gliche Massnahmen zur Restaurierung des Sempachersees,Schweizerische Zeitschrift f???r Hydrologie,2006
9,"[{'name': 'O N Ozoline', 'ids': ['2186404']}, {'name': 'T A Uteshev', 'ids': ['11818232']}, {'name': 'I S Masulis', 'ids': ['2012631']}, {'name': 'S G Kamzolova', 'ids': ['1700554']}]",,,"['DNA-Directed RNA Polymerase', 'Diagnostic Specificity', 'RNA, Bacterial', 'Rifampin', 'promoter']",eaa3f0c477206915ec98c7c5fc0eb4bf696ce91c,['5d1d0520debedfa55d1c7ff92f9a46f1203e0384'],Biochimica et biophysica acta,251-61,1172 3,[],"Using a rifampicin-resistant RNA polymerase with altered specificity to different promoters, the D promoter of T7 phage DNA with increased affinity to the mutant enzyme was chosen. This promoter and the T7 A1 promoter with unchanged affinity as well as some nonpromoter DNA fragments were used to compare temperature-induced conformational transitions of RNA polymerase in the course of complex formation. Conformational alterations of RNA polymerase were monitored by the fluorescent label method. It was shown that RNA polymerase undergoes a set of conformational transitions during complex formation with each promoter, some of which were similar by the character of change to spectral parameters of the label (reflecting RPi and, probably, RPo formation). The local structure of complexes formed above 33 degrees C differs for A1 and D. The conformational analysis reveals at least one temperature-dependent stage upon nonspecific interaction of the enzyme with nonpromoter DNA at 13-16 degrees C. Models of functional organization of the enzyme recognizing center and some features of the structure of the promoters which may be essential for their recognition are discussed.",[],7916631v1,,https://semanticscholar.org/paper/eaa3f0c477206915ec98c7c5fc0eb4bf696ce91c,['Medline'],Interaction of bacterial RNA-polymerase with two different promoters of phage T7 DNA. Conformational analysis.,Biochimica et biophysica acta,1993
